sample_id,family,runtime_sec,active_measurement_count,reconstructed_voxels,x_size,y_size,z_size,num_freq,voxel_chunk,measurement_chunk,phase_convention,normalization
point_cluster_test_0006,point_cluster,23.98072738898918,11991,480,8,10,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0007,point_cluster,13.583262222993653,6156,528,11,8,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0008,point_cluster,11.816387787053827,5843,490,10,7,7,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0009,point_cluster,15.864013382990379,8573,441,7,9,7,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0010,point_cluster,42.14248442300595,8894,1120,10,14,8,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0011,point_cluster,13.53184210305335,5730,567,9,9,7,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0012,point_cluster,19.239098777004983,7237,630,10,9,7,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0013,point_cluster,36.069330783968326,7143,1200,15,8,10,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0014,point_cluster,8.335736951965373,5130,392,8,7,7,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0015,point_cluster,17.951258838002104,7575,560,8,10,7,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0016,point_cluster,48.634591035021,11040,1056,11,12,8,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0017,point_cluster,11.797282761021052,5232,540,10,9,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0018,point_cluster,18.688295806001406,8886,504,9,8,7,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
point_cluster_test_0019,point_cluster,21.20765559701249,12122,420,10,6,7,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
