variant,seed,family,n,NMSE,PSNR,SSIM
F04_dual_path_film,1,line,20,0.9972290484208278,30.6859800898562,0.5224172289024211
F04_dual_path_film,1,point_cluster,20,1.0994467560104009,33.608244915669914,0.6865787093349169
F04_dual_path_film,1,small_rect_edge,10,1.0015694281875838,29.58323617358919,0.45943927313580907
F04_dual_path_film,2,L-shape,20,0.9756259399451401,28.400559768288485,0.39736384837154637
F04_dual_path_film,2,cross,15,0.975954707954649,30.079370655568127,0.4902627337088116
F04_dual_path_film,2,double-line,15,0.9756379494853442,27.5057731132452,0.35102096877723044
F04_dual_path_film,2,line,20,0.9776422849998921,30.768486425881218,0.5255461458718581
F04_dual_path_film,2,point_cluster,20,1.0213636014312273,33.90402754492983,0.6997559121222862
F04_dual_path_film,2,small_rect_edge,10,0.9862564263664648,29.649626396793394,0.4634346049684289
F05_delta_conditioned_film,0,L-shape,20,1.0107532522539875,28.247069178980155,0.3799833267493598
F05_delta_conditioned_film,0,cross,15,1.0188687936524892,29.89274590122476,0.47075851064151786
F05_delta_conditioned_film,0,double-line,15,1.0071144131104166,27.367884917111883,0.33446701990811945
F05_delta_conditioned_film,0,line,20,1.0243867596202543,30.565688536728015,0.506019451341357
F05_delta_conditioned_film,0,point_cluster,20,1.0701539916352831,33.7018020813551,0.6847631155172424
F05_delta_conditioned_film,0,small_rect_edge,10,1.0176092158630172,29.51339322471477,0.4485249819002555
F05_delta_conditioned_film,1,L-shape,20,0.9913113654034067,28.331166284637902,0.3783281357927891
F05_delta_conditioned_film,1,cross,15,0.9911645247631592,30.011930113634907,0.47275007333654984
F05_delta_conditioned_film,1,double-line,15,0.9932736660717415,27.42781855990911,0.32895317960256043
F05_delta_conditioned_film,1,line,20,0.9943890914081963,30.69405318421863,0.5099414915661444
F05_delta_conditioned_film,1,point_cluster,20,0.9989103115068165,33.998186130870174,0.700615671752961
F05_delta_conditioned_film,1,small_rect_edge,10,0.9943471271747993,29.613819997896933,0.45131540076093357
F05_delta_conditioned_film,2,L-shape,20,0.9892138815076577,28.34038157980306,0.3797420832012546
F05_delta_conditioned_film,2,cross,15,0.9902990355167887,30.01575121837282,0.47335105898555835
F05_delta_conditioned_film,2,double-line,15,0.9905736459330988,27.43962378556263,0.330935159829902
F05_delta_conditioned_film,2,line,20,0.9903555453840769,30.71139934263467,0.5116476961771291
F05_delta_conditioned_film,2,point_cluster,20,0.9927986983133055,34.02477998267144,0.7020831557032662
F05_delta_conditioned_film,2,small_rect_edge,10,0.9905444870506107,29.63041525059006,0.4532524810192394
G00_generic_film_sincos_Pcyc,0,L-shape,20,1.0081309600274073,28.258470104053806,0.3834501081693682
G00_generic_film_sincos_Pcyc,0,cross,15,1.019004333637627,29.892305599063857,0.4713007702212664
G00_generic_film_sincos_Pcyc,0,double-line,15,1.0046722564436932,27.378472530493912,0.3380695984425541
