variant,seed,bin,n,NMSE,MAE,SSIM
R03_rsbfilm_env_avgPcycDelta,2,large,100,0.9826050814829221,0.8319406756246933,0.722431022063922
R03_rsbfilm_env_avgPcycDelta,2,medium,100,0.9803400776518144,0.824444803595543,0.7294915703419873
R03_rsbfilm_env_avgPcycDelta,2,small,100,0.9800680680852889,0.8225991582870483,0.7105670455269801
R04_rsbfilm_env_productPcycDelta,0,large,100,0.9873452967972831,0.8339619859300479,0.7208775027318578
R04_rsbfilm_env_productPcycDelta,0,medium,100,0.9852299143279072,0.8265317207574845,0.7279032268389176
R04_rsbfilm_env_productPcycDelta,0,small,100,0.9838485845884334,0.8242495757341385,0.7093641757391532
R04_rsbfilm_env_productPcycDelta,1,large,100,0.9803530623493549,0.8310502580922059,0.7228895244234572
R04_rsbfilm_env_productPcycDelta,1,medium,100,0.9800712097894766,0.8242894744873047,0.7296779303896269
R04_rsbfilm_env_productPcycDelta,1,small,100,0.9793382337974523,0.8223835843801498,0.7109287586427384
R04_rsbfilm_env_productPcycDelta,2,large,100,0.9936922320379649,0.8367136120796204,0.7193720050326626
R04_rsbfilm_env_productPcycDelta,2,medium,100,0.9928306458729342,0.8297098577022552,0.7260946934743333
R04_rsbfilm_env_productPcycDelta,2,small,100,0.9909220167354762,0.8272415333986283,0.7072398590650937
R05_rsbfilm_env_softPcyc,0,large,100,0.9800075757159469,0.830781674144244,0.7228796866426894
R05_rsbfilm_env_softPcyc,0,medium,100,0.9772761490460457,0.8231995737552643,0.7299378775513523
R05_rsbfilm_env_softPcyc,0,small,100,0.9763659477043042,0.8210422223806382,0.7114015131076492
R05_rsbfilm_env_softPcyc,1,large,100,0.9982555824021355,0.8386106262303362,0.7180685247428487
R05_rsbfilm_env_softPcyc,1,medium,100,0.9980122580463179,0.8319263929128646,0.7246027209221327
R05_rsbfilm_env_softPcyc,1,small,100,0.9981111263176317,0.8302391678094864,0.7053061348942997
R05_rsbfilm_env_softPcyc,2,large,100,0.9912930200077092,0.8356687426567078,0.7199578662026197
R05_rsbfilm_env_softPcyc,2,medium,100,0.9915604706181564,0.8291444480419159,0.72655885418592
R05_rsbfilm_env_softPcyc,2,small,100,0.9910496575344222,0.827230144739151,0.7073323781371945
