dataset,sample_id,family,model,NMSE,PSNR,SSIM,runtime,speedup_vs_BP
Main Test,L_shape_test_0011,L-shape,Ours-PC-P1,0.8591341822513039,34.03923381997547,0.7288304501416062,0.2344495679717511,8.419810117952975
Main Test,L_shape_test_0011,L-shape,Ours-PC-P2A,0.8561411157218058,34.0543902391689,0.7296506142848981,0.2366672831121832,8.340911420454105
Main Test,L_shape_test_0012,L-shape,Baseline-Ours,0.7660146522872785,27.91596823835222,0.4808616223596298,0.505559052429162,3.9046296077051257
Main Test,L_shape_test_0012,L-shape,Ours-PC-P1,0.7283501620251766,28.13493677957633,0.5126072906453318,0.5100695840083063,3.870101073358861
Main Test,L_shape_test_0012,L-shape,Ours-PC-P2A,0.7372942357121567,28.08193053479551,0.5018559937439452,0.5092632849700749,3.8762284712400787
Main Test,L_shape_test_0013,L-shape,Baseline-Ours,0.7241529739153406,28.663890162049608,0.5395535971310239,0.4899636184284464,4.028913107650538
Main Test,L_shape_test_0013,L-shape,Ours-PC-P1,0.7291636412783514,28.63394344745614,0.5363843864022249,0.49294606084004045,4.004537212842883
Main Test,L_shape_test_0013,L-shape,Ours-PC-P2A,0.7464918901230105,28.53194230079874,0.5185186056988693,0.493706407956779,3.9983699071839216
Main Test,L_shape_test_0014,L-shape,Baseline-Ours,0.8406212523893403,32.94679412114198,0.6943392527282034,0.25833797743078324,7.641233643579002
Main Test,L_shape_test_0014,L-shape,Ours-PC-P1,0.8028773990993113,33.14630550178465,0.7016031418887035,0.2613597670570016,7.552887220502179
Main Test,L_shape_test_0014,L-shape,Ours-PC-P2A,0.8017534302565713,33.15238955245163,0.6987789812755723,0.26144677586853504,7.550373639148885
Main Test,L_shape_test_0015,L-shape,Baseline-Ours,0.6490441935977757,27.742880953449735,0.5719382270438964,0.378728392389603,5.212233580120795
Main Test,L_shape_test_0015,L-shape,Ours-PC-P1,0.6519239466148194,27.72365427088257,0.5721698354850914,0.38174587301909924,5.171033884260201
Main Test,L_shape_test_0015,L-shape,Ours-PC-P2A,0.6791045014573517,27.546257548322256,0.5362700276545185,0.38246768806129694,5.161274811381932
Main Test,L_shape_test_0016,L-shape,Baseline-Ours,0.6498545583264976,29.282592290025526,0.6032110133069584,0.43011498832609507,4.589518845275939
Main Test,L_shape_test_0016,L-shape,Ours-PC-P1,0.6679327428507792,29.16342633789081,0.5903754537277821,0.43397040106356144,4.54874535157325
Main Test,L_shape_test_0016,L-shape,Ours-PC-P2A,0.686762592016943,29.04268759388273,0.569207884586441,0.4329834769014269,4.5591135686862705
Main Test,L_shape_test_0017,L-shape,Baseline-Ours,0.6527051383272451,28.152951177071,0.5754943708236526,0.39716786038596186,4.970243167813049
Main Test,L_shape_test_0017,L-shape,Ours-PC-P1,0.6532179127795882,28.149540747386407,0.5809552175218407,0.4002756520640105,4.931653560188508
Main Test,L_shape_test_0017,L-shape,Ours-PC-P2A,0.6762159529123107,27.99926758627809,0.551028598918431,0.39996560709550977,4.935476474823166
Main Test,L_shape_test_0018,L-shape,Baseline-Ours,0.6669110178054827,27.958974713595026,0.542694580802956,0.5481890033418313,3.6009858507273345
Main Test,L_shape_test_0018,L-shape,Ours-PC-P1,0.6795175121319388,27.877647052336123,0.5296208943707696,0.5511929299682379,3.5813609667888984
Main Test,L_shape_test_0018,L-shape,Ours-PC-P2A,0.697396515874042,27.764855819166222,0.5116755779167711,0.5516607679892331,3.578323779944383
Main Test,L_shape_test_0019,L-shape,Baseline-Ours,0.9318722780179365,33.636444375084466,0.7293203306275825,0.46144579546060416,4.277904065823882
Main Test,L_shape_test_0019,L-shape,Ours-PC-P1,0.9188871851039094,33.69738641377343,0.7269724496332861,0.4652412000577897,4.243005228928676
Main Test,L_shape_test_0019,L-shape,Ours-PC-P2A,0.8686439564110255,33.94159043115023,0.7354718183115467,0.46557125519029796,4.2399972561695005
Main Test,double_line_test_0000,double-line,Baseline-Ours,0.6102811777653759,28.37726694546496,0.5727631257804479,0.2984173703892157,6.6149662869276185
Main Test,double_line_test_0000,double-line,Ours-PC-P1,0.620239933631069,28.30696954543861,0.5630017298504966,0.3015272889751941,6.54674026774622
Main Test,double_line_test_0000,double-line,Ours-PC-P2A,0.6487846853595991,28.111560813957293,0.5365165027819822,0.3046298960689455,6.480062758224762
Main Test,double_line_test_0001,double-line,Baseline-Ours,0.6760330631080241,28.337431033622956,0.5606016970010891,0.49207405033055696,4.011633702757096
Main Test,double_line_test_0001,double-line,Ours-PC-P1,0.6812807978907571,28.30384896804087,0.5573409965729775,0.49503710493445396,3.9876219880924415
Main Test,double_line_test_0001,double-line,Ours-PC-P2A,0.7115358952259255,28.11514233509432,0.5248390989615663,0.4949187480378896,3.988575604347743
Main Test,double_line_test_0002,double-line,Baseline-Ours,0.904291900164445,31.68274485793858,0.5988088217578054,0.24813758357893675,7.95534806169451
Main Test,double_line_test_0002,double-line,Ours-PC-P1,0.8893389685917362,31.755157708505614,0.6052334314577114,0.2511590840294957,7.859643429526236
Main Test,double_line_test_0002,double-line,Ours-PC-P2A,0.883389724519153,31.784307795288047,0.6100509872335916,0.25095973419956863,7.865886736190395
Main Test,double_line_test_0003,double-line,Baseline-Ours,0.6103634097708226,27.77140346737432,0.5915445828709618,0.4032584422687069,4.895175494535305
Main Test,double_line_test_0003,double-line,Ours-PC-P1,0.6234442539693194,27.679311984955728,0.5808387645226624,0.40626118890941143,4.858994406670787
Main Test,double_line_test_0003,double-line,Ours-PC-P2A,0.6520056565158597,27.484774776048,0.5475343007638799,0.40621286490932107,4.8595724436224215
Main Test,double_line_test_0004,double-line,Baseline-Ours,0.7802435812032207,26.972821355471034,0.4359059750928523,0.4853643282270059,4.067090904206294
