dataset,sample_id,family,model,NMSE,PSNR,SSIM,runtime,speedup_vs_BP
Unseen-Parameter OOD,unseen_param_ood_0083,line,Ours-PC-P1,0.775869055235615,29.939836189881333,0.5989955219744705,0.33068884210661054,9.862133130953987
Unseen-Parameter OOD,unseen_param_ood_0083,line,Ours-PC-P2A,0.7774557686094475,29.930963668425687,0.5880797289391112,0.3305412959307432,9.86653536464545
Unseen-Parameter OOD,unseen_param_ood_0084,line,Baseline-Ours,0.7401350793564758,29.30813820531607,0.5659317706364542,0.3892641409765929,8.378108956027683
Unseen-Parameter OOD,unseen_param_ood_0084,line,Ours-PC-P1,0.7077688916909154,29.50233346066172,0.5877745915271456,0.38390331505797803,8.495100870082059
Unseen-Parameter OOD,unseen_param_ood_0084,line,Ours-PC-P2A,0.7381590474083619,29.319748954182856,0.557889552411581,0.38374191289767623,8.498673916409105
Unseen-Parameter OOD,unseen_param_ood_0085,line,Baseline-Ours,0.6922917047289787,29.0307167467331,0.5916862114306621,0.4055178379639983,8.042303150338734
Unseen-Parameter OOD,unseen_param_ood_0085,line,Ours-PC-P1,0.6817119598003346,29.097598742682,0.5984079566826175,0.4037307631224394,8.077901620757501
Unseen-Parameter OOD,unseen_param_ood_0085,line,Ours-PC-P2A,0.6959518022465079,29.007816132057123,0.5786652242632419,0.40358399716205895,8.080839202518833
Unseen-Parameter OOD,unseen_param_ood_0086,line,Baseline-Ours,0.6763785724742369,28.742022848709972,0.5449566072988855,0.4015880739316344,8.12100158714278
Unseen-Parameter OOD,unseen_param_ood_0086,line,Ours-PC-P1,0.6668581632236162,28.80358682492111,0.5524648248108842,0.39984012208878994,8.15650357632744
Unseen-Parameter OOD,unseen_param_ood_0086,line,Ours-PC-P2A,0.6998130703371146,28.594100946716026,0.5251806950792197,0.399903052020818,8.155220044698835
Unseen-Parameter OOD,unseen_param_ood_0087,line,Baseline-Ours,0.7637505695764776,29.81621311980895,0.6301337022897505,0.6392847450915724,5.101478505183572
Unseen-Parameter OOD,unseen_param_ood_0087,line,Ours-PC-P1,0.7577529326308888,29.850452548303544,0.6212046289283657,0.6365062780678272,5.123747397553377
Unseen-Parameter OOD,unseen_param_ood_0087,line,Ours-PC-P2A,0.7535265258766383,29.87474319212099,0.6105312043860278,0.6369577827863395,5.120115451780863
Unseen-Parameter OOD,unseen_param_ood_0088,line,Baseline-Ours,0.8493950438288673,26.341145771230856,0.37491592523970757,0.5588737046346068,5.835481896412824
Unseen-Parameter OOD,unseen_param_ood_0088,line,Ours-PC-P1,0.8323897737031285,26.4289756867594,0.39556769025721394,0.5570075877476484,5.855032242853293
Unseen-Parameter OOD,unseen_param_ood_0088,line,Ours-PC-P2A,0.8314628182191979,26.433814651722976,0.39630618363721515,0.5567465978674591,5.8577769460439715
Unseen-Parameter OOD,unseen_param_ood_0089,line,Baseline-Ours,0.6803859396200802,28.60957940846243,0.5877629279317617,0.31564283394254744,10.33223959194977
Unseen-Parameter OOD,unseen_param_ood_0089,line,Ours-PC-P1,0.7100558504627189,28.42420740882609,0.5612286274214908,0.3133942517451942,10.406372700249843
Unseen-Parameter OOD,unseen_param_ood_0089,line,Ours-PC-P2A,0.7263247581998585,28.32582414447903,0.5390666463131661,0.3131448021158576,10.41466236622953
