dataset,family,baseline_nmse,p1_nmse,p2a_nmse,baseline_psnr,p1_psnr,p2a_psnr,baseline_ssim,p1_ssim,p2a_ssim
Main Test,L-shape,0.6871675690240565,0.701400899433083,0.7098969495306293,27.40975850693291,27.32072164468635,27.268431800470836,0.5397194820983838,0.5287345103361577,0.5111834731444105
Main Test,L-shape,0.7241529739153406,0.7291636412783514,0.7464918901230105,28.663890162049608,28.63394344745614,28.53194230079874,0.5395535971310239,0.5363843864022249,0.5185186056988693
Main Test,L-shape,0.7660146522872785,0.7283501620251766,0.7372942357121567,27.91596823835222,28.13493677957633,28.08193053479551,0.4808616223596298,0.5126072906453318,0.5018559937439452
Main Test,L-shape,0.8406212523893403,0.8028773990993113,0.8017534302565713,32.94679412114198,33.14630550178465,33.15238955245163,0.6943392527282034,0.7016031418887035,0.6987789812755723
Main Test,L-shape,0.847007027058786,0.8262185290322875,0.8314763607590058,31.323581849780634,31.431502832129716,31.40395297991561,0.6177987810306841,0.6278145615064665,0.6153901285287615
Main Test,L-shape,0.8552934324389482,0.81557574450941,0.8203900943815495,31.839929269495535,32.04643770913749,32.020876506909126,0.6404981412492837,0.6590621775083291,0.6521163243291586
Main Test,L-shape,0.8740622583675965,0.8591341822513039,0.8561411157218058,33.96441997335223,34.03923381997547,34.0543902391689,0.7257462680295044,0.7288304501416062,0.7296506142848981
Main Test,L-shape,0.8947562131919773,0.8482853364403932,0.8518359517536699,30.957361260368252,31.18898870776316,31.17084892078916,0.6030726649298461,0.6155217015220601,0.6103001203842165
Main Test,L-shape,0.9318722780179365,0.9188871851039094,0.8686439564110255,33.636444375084466,33.69738641377343,33.94159043115023,0.7293203306275825,0.7269724496332861,0.7354718183115467
Main Test,line,0.6139101425899993,0.6279764816642139,0.6430199944578732,31.80087130956953,31.702485730045687,31.599674654984476,0.6888746210783581,0.6795524566365471,0.6677952069509978
Main Test,line,0.6186597950087473,0.6454084595025764,0.6671461422911595,30.288491491891545,30.104663835285077,29.960800731405634,0.6636818888852671,0.6461308022144991,0.6219266613764659
Main Test,line,0.6215754954514306,0.6460215677755414,0.6665527525001074,31.36614995787294,31.198618540220483,31.062743317841203,0.6841122233800107,0.6742758056192063,0.6573863528999422
Main Test,line,0.6396902395041171,0.6565727696812586,0.6714951494017313,32.14712238449137,32.03399100514437,31.93639090938408,0.7002464560539143,0.6894558984495608,0.6775549821062979
Main Test,line,0.6512914813108331,0.645205593411063,0.6693157645839312,32.064546182375686,32.105318861591215,31.94598981041949,0.7041407293757469,0.705504659852324,0.6851052015216732
Main Test,line,0.6691216542852075,0.6581119996907216,0.6766950420404648,31.11355259739751,31.185605178897955,31.064673475964497,0.6483793541610011,0.6532337682906056,0.6377895413656665
Main Test,line,0.707657069938542,0.6702096706557783,0.6708597506091093,33.92144689025528,34.157568516437735,34.15335780971435,0.7404328381735098,0.7515567809577233,0.7502099297886231
Main Test,line,0.7220197600069965,0.6608907023876304,0.6654038617431901,32.255522992255855,32.63971743349053,32.61016070062675,0.6668525324220198,0.699350330547586,0.6972907945106063
Main Test,line,0.7369717619253735,0.7202823391765729,0.7404969958570159,28.339226941312926,28.43870781082288,28.318502560106342,0.5244848824102456,0.5412530334474129,0.5223655168157453
Main Test,line,0.7599256155546403,0.7562441356080285,0.7680117537633251,30.98119149940931,31.00228211525231,30.93522379422631,0.643864861821445,0.6460682843816941,0.6312761028607394
Main Test,line,0.7694717945951746,0.785238106526664,0.7899448432182227,27.04829721113113,26.96021077070467,26.93425644034557,0.45864105343662914,0.44241022064364405,0.4338904439311946
Main Test,line,0.7761189335134973,0.7778796516046189,0.7779712230711799,28.847606668123866,28.837765411909125,28.83725399288459,0.5165361431356196,0.5125960009825495,0.5120468624054042
Main Test,line,0.7855527227126596,0.7848071776409419,0.7967076476637576,26.868992765070537,26.873116374720006,26.807756140632428,0.43047157628238164,0.43399015914044103,0.4204249214866932
Main Test,line,0.8099779077348002,0.8133524115062366,0.8091476532949129,32.51430953365988,32.496253566780354,32.51876338008683,0.6547031974697263,0.6513719007309936,0.6529894517479188
Main Test,line,0.8456207296215303,0.8392823658120738,0.8306130087894877,33.145254726762154,33.177929952856616,33.2230236109302,0.6868892769754088,0.6892765435679836,0.6915098801689636
Main Test,line,0.9033293293755581,0.8923497727035552,0.8639535673744473,35.83063444279172,35.88374439620853,36.0241918589315,0.798845219280671,0.7977417558647147,0.802697699396192
Main Test,line,0.9297164375391729,0.9169113354354104,0.9167549903040358,32.41149764832304,32.471729372751064,32.472469930532355,0.6375871431409184,0.6413476896909522,0.6433955631008129
Main Test,line,0.9897439095064566,0.9805611955451603,0.993411252812848,36.68317827749436,36.72365959892819,36.66711592707288,0.8139688278545434,0.8162933934879518,0.8140031351864615
Main Test,line,0.9913506980873192,0.9384111301297213,0.9182652979130297,34.86768779893028,35.10602942114902,35.20027921527237,0.7521035361488173,0.764037208489351,0.7686748098622048
Main Test,line,1.0823283335531428,1.0904267632467328,0.9853122001053407,33.56752504080311,33.53515025286369,33.975376653612045,0.7162952786740371,0.7075298701048524,0.7272105030523376
