dataset,family,baseline_nmse,pc_nmse,baseline_psnr,pc_psnr,baseline_ssim,pc_ssim
Leave-One-Family-Out Focused OOD,point_cluster,1.026645253605717,1.0315248461168076,31.189152252513992,31.168559553701165,0.553290516862714,0.5528233091692071
Leave-One-Family-Out Focused OOD,point_cluster,1.0321203129085943,0.9977950277385447,30.500794614764466,30.647684553525334,0.5587322539527895,0.5728094458493549
Leave-One-Family-Out Focused OOD,point_cluster,1.032441073871169,1.0068417164107863,31.034719833551947,31.14376045060957,0.5475390830129954,0.5520321926172718
Leave-One-Family-Out Focused OOD,point_cluster,1.0345424966359635,1.0387554264886245,31.3532447056018,31.335595282468883,0.569466480749906,0.5615381392500727
Leave-One-Family-Out Focused OOD,point_cluster,1.037096177561507,1.0048809590246326,31.400609669372557,31.53765391442702,0.5608371786055892,0.5721371099147852
Leave-One-Family-Out Focused OOD,point_cluster,1.0410242810377641,1.0433984775811924,31.79063522088365,31.780742023316385,0.5860620157231394,0.581762017155876
Leave-One-Family-Out Focused OOD,point_cluster,1.0543754657108937,1.0200350888979923,30.44380026731549,30.587602067676784,0.5115064747343638,0.5202784982150118
Leave-One-Family-Out Focused OOD,point_cluster,1.0550136003978188,1.073703808001026,31.013241794204554,30.936977522959907,0.5576924594374082,0.5500929080155709
Leave-One-Family-Out Focused OOD,point_cluster,1.0585944319598835,1.0040312412351338,31.938114658205706,32.16793842622896,0.603414301878217,0.6142941128625113
Leave-One-Family-Out Focused OOD,point_cluster,1.0625572620970065,1.0321873763590266,32.1105515802182,32.236489680980085,0.6005740423648699,0.6057220924702637
Leave-One-Family-Out Focused OOD,point_cluster,1.0636534998164395,1.0415775759289205,31.046038654415664,31.13712418963552,0.5480440066019029,0.5512138474913618
Leave-One-Family-Out Focused OOD,point_cluster,1.0719961109450495,1.0156754078323103,30.61767308304153,30.85205579253103,0.5258305928451988,0.5393120965312688
Leave-One-Family-Out Focused OOD,point_cluster,1.1607295588422342,1.1131757669335987,30.586181521122974,30.767854437955002,0.536690511834042,0.5442930726526317
Main Test,L-shape,0.5900710188912967,0.5831651825679602,29.954410629964528,30.00553796561195,0.6426040115609996,0.6496513500585115
Main Test,L-shape,0.6141413192817137,0.6324546807111562,29.398237435386374,29.27062680511058,0.6440097458933982,0.6299794536842925
Main Test,L-shape,0.6241015531600728,0.6390727389119053,28.45068706540248,28.347736896769227,0.630529950719484,0.6201022128607294
Main Test,L-shape,0.6490441935977757,0.6519239466148194,27.742880953449735,27.72365427088257,0.5719382270438964,0.5721698354850914
Main Test,L-shape,0.6498545583264976,0.6679327428507792,29.282592290025526,29.16342633789081,0.6032110133069584,0.5903754537277821
Main Test,L-shape,0.6527051383272451,0.6532179127795882,28.152951177071,28.149540747386407,0.5754943708236526,0.5809552175218407
Main Test,L-shape,0.6669110178054827,0.6795175121319388,27.958974713595026,27.877647052336123,0.542694580802956,0.5296208943707696
Main Test,L-shape,0.6707999418995586,0.6956059489227383,28.873789351634358,28.71608672190963,0.5769408831749641,0.5569724696777457
Main Test,L-shape,0.6746187850170376,0.6686428209365722,28.708937167996645,28.747579469585823,0.5667398000133884,0.5747891131738516
Main Test,L-shape,0.6811842322129271,0.6720121238289299,29.15565289438263,29.214527785729068,0.5767069281137587,0.5845142471018462
Main Test,L-shape,0.6825317214990932,0.6954272601210725,27.830945877774983,27.749656906751273,0.5353030969481889,0.5276973382849935
Main Test,L-shape,0.6871675690240565,0.701400899433083,27.40975850693291,27.32072164468635,0.5397194820983838,0.5287345103361577
Main Test,L-shape,0.7241529739153406,0.7291636412783514,28.663890162049608,28.63394344745614,0.5395535971310239,0.5363843864022249
Main Test,L-shape,0.7660146522872785,0.7283501620251766,27.91596823835222,28.13493677957633,0.4808616223596298,0.5126072906453318
Main Test,L-shape,0.8406212523893403,0.8028773990993113,32.94679412114198,33.14630550178465,0.6943392527282034,0.7016031418887035
Main Test,L-shape,0.847007027058786,0.8262185290322875,31.323581849780634,31.431502832129716,0.6177987810306841,0.6278145615064665
Main Test,L-shape,0.8552934324389482,0.81557574450941,31.839929269495535,32.04643770913749,0.6404981412492837,0.6590621775083291
Main Test,L-shape,0.8740622583675965,0.8591341822513039,33.96441997335223,34.03923381997547,0.7257462680295044,0.7288304501416062
