dataset,sample_id,family,model,NMSE,PSNR,SSIM,runtime,speedup_vs_BP
Main Test,L_shape_test_0013,L-shape,Ours-PC-P1,0.7291636412783514,28.63394344745614,0.5363843864022249,0.4928489811718464,4.0053260125741295
Main Test,L_shape_test_0014,L-shape,Baseline-Ours,0.8406212523893403,32.94679412114198,0.6943392527282034,0.25833797743078324,7.641233643579002
Main Test,L_shape_test_0014,L-shape,Ours-PC-P1,0.8028773990993113,33.14630550178465,0.7016031418887035,0.2615691109094769,7.546842353420766
Main Test,L_shape_test_0015,L-shape,Baseline-Ours,0.6490441935977757,27.742880953449735,0.5719382270438964,0.378728392389603,5.212233580120795
Main Test,L_shape_test_0015,L-shape,Ours-PC-P1,0.6519239466148194,27.72365427088257,0.5721698354850914,0.3816615140531212,5.172176842235923
Main Test,L_shape_test_0016,L-shape,Baseline-Ours,0.6498545583264976,29.282592290025526,0.6032110133069584,0.43011498832609507,4.589518845275939
Main Test,L_shape_test_0016,L-shape,Ours-PC-P1,0.6679327428507792,29.16342633789081,0.5903754537277821,0.43302457802928984,4.558680834104366
Main Test,L_shape_test_0017,L-shape,Baseline-Ours,0.6527051383272451,28.152951177071,0.5754943708236526,0.39716786038596186,4.970243167813049
Main Test,L_shape_test_0017,L-shape,Ours-PC-P1,0.6532179127795882,28.149540747386407,0.5809552175218407,0.40003335615620017,4.934640609788206
Main Test,L_shape_test_0018,L-shape,Baseline-Ours,0.6669110178054827,27.958974713595026,0.542694580802956,0.5481890033418313,3.6009858507273345
Main Test,L_shape_test_0018,L-shape,Ours-PC-P1,0.6795175121319388,27.877647052336123,0.5296208943707696,0.5510233519598842,3.582463134342748
Main Test,L_shape_test_0019,L-shape,Baseline-Ours,0.9318722780179365,33.636444375084466,0.7293203306275825,0.46144579546060416,4.277904065823882
Main Test,L_shape_test_0019,L-shape,Ours-PC-P1,0.9188871851039094,33.69738641377343,0.7269724496332861,0.4644224641378969,4.250485273623899
Main Test,double_line_test_0000,double-line,Baseline-Ours,0.6102811777653759,28.37726694546496,0.5727631257804479,0.2984173703892157,6.6149662869276185
Main Test,double_line_test_0000,double-line,Ours-PC-P1,0.620239933631069,28.30696954543861,0.5630017298504966,0.3020738691557199,6.5348944285566155
Main Test,double_line_test_0001,double-line,Baseline-Ours,0.6760330631080241,28.337431033622956,0.5606016970010891,0.49207405033055696,4.011633702757096
Main Test,double_line_test_0001,double-line,Ours-PC-P1,0.6812807978907571,28.30384896804087,0.5573409965729775,0.4959256579168141,3.9804773418062864
Main Test,double_line_test_0002,double-line,Baseline-Ours,0.904291900164445,31.68274485793858,0.5988088217578054,0.24813758357893675,7.95534806169451
Main Test,double_line_test_0002,double-line,Ours-PC-P1,0.8893389685917362,31.755157708505614,0.6052334314577114,0.2510438512545079,7.863251120048323
Main Test,double_line_test_0003,double-line,Baseline-Ours,0.6103634097708226,27.77140346737432,0.5915445828709618,0.4032584422687069,4.895175494535305
Main Test,double_line_test_0003,double-line,Ours-PC-P1,0.6234442539693194,27.679311984955728,0.5808387645226624,0.40616604988463223,4.860132561840056
