dataset,sample_id,family,model,NMSE,PSNR,SSIM,runtime,speedup_vs_BP
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0050,point_cluster,Baseline-Ours,0.9252551620348829,33.14972560573877,0.6689181538997728,0.2757014299277216,6.476243296052403
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0050,point_cluster,Ours-PC-P1,0.9116094771154409,33.214252418278974,0.672047694137449,0.27450281707569957,6.504521725141637
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0051,point_cluster,Baseline-Ours,0.9202379820552403,31.93212072990814,0.6271023835454583,0.5108524919487536,3.4951567535087658
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0051,point_cluster,Ours-PC-P1,0.9338089494624225,31.86854199930431,0.625172895230459,0.5087776100263,3.5094105992383806
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0052,point_cluster,Baseline-Ours,0.9060550792312461,30.770211439483827,0.5630186679090354,0.4720327090471983,3.7825970596095626
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0052,point_cluster,Ours-PC-P1,0.924614172888597,30.682151991734862,0.5464271404390904,0.4734132559970021,3.771566416156237
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0053,point_cluster,Baseline-Ours,1.0064567617433184,31.40665151320823,0.5871965677327625,0.3124449362512678,5.714637461256738
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0053,point_cluster,Ours-PC-P1,1.0046677333410772,31.414378137093504,0.5804803808131456,0.3101427450310439,5.757057245052587
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0054,point_cluster,Baseline-Ours,0.9327388434293356,32.532097140032306,0.6371579031415371,0.3949268439318985,4.521114643676547
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0054,point_cluster,Ours-PC-P1,0.9219010089812149,32.58285461542163,0.6402401067062029,0.3934061520267278,4.538590787365628
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0055,point_cluster,Baseline-Ours,0.9490954229983577,31.462546168917633,0.5855705692876617,0.3437039079144597,5.194906127531847
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0055,point_cluster,Ours-PC-P1,0.9496255854066703,31.460120795947898,0.579466703519065,0.3458703749347478,5.1623662119611256
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0056,point_cluster,Baseline-Ours,0.9734768451710598,31.09470955357669,0.5964891956455429,0.31051899725571275,5.750081486354599
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0056,point_cluster,Ours-PC-P1,0.9761327447398664,31.082876869797,0.5953819559021258,0.3093807832337916,5.771236075552249
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0057,point_cluster,Baseline-Ours,0.9595070030992836,31.130118626400666,0.5762389930490548,0.46636132593266666,3.8285969225914345
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0057,point_cluster,Ours-PC-P1,0.9417324443806272,31.21132494458971,0.5760186585278877,0.466144687961787,3.830376240236891
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0058,point_cluster,Baseline-Ours,0.9249697132470707,31.476349093996298,0.5848353431125394,0.36039222101680934,4.954350935333283
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0058,point_cluster,Ours-PC-P1,0.9202923664473012,31.498365943838667,0.5857336545696331,0.35840222681872547,4.981859496605619
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0059,point_cluster,Baseline-Ours,0.9948942728796374,31.896672958204174,0.5940867671750597,0.2996526509523392,5.958597501496691
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0059,point_cluster,Ours-PC-P1,0.9733705956769073,31.99165993826987,0.6011777385425513,0.29716341686435044,6.00851059030769
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0060,point_cluster,Baseline-Ours,1.0264558453818688,32.39229787229574,0.6212397851860443,0.5220540561713278,3.420162177028464
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0060,point_cluster,Ours-PC-P1,0.9793216434782137,32.596447128526854,0.6334832305111395,0.5194716993719339,3.4371642178779607
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0061,point_cluster,Baseline-Ours,0.962732844201783,31.39346593400279,0.5818078451141252,0.4371977890841663,4.083985742521069
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0061,point_cluster,Ours-PC-P1,0.9555813357189391,31.425847152802824,0.5831261958319213,0.43722888734191656,4.083695265736606
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0062,point_cluster,Baseline-Ours,0.920380808973116,31.322642428278908,0.6001793458183038,0.33209101506508887,5.376566833437255
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0062,point_cluster,Ours-PC-P1,0.9265874219175536,31.293453981080805,0.5966465630362349,0.330528762890026,5.401979306338148
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0063,point_cluster,Baseline-Ours,0.9455173328291484,32.21044371873924,0.6243928943936214,0.37883201497606933,4.713195999008316
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0063,point_cluster,Ours-PC-P1,0.9347869539182735,32.26001256626867,0.6266620130981597,0.3776066158898175,4.7284911390494955
