variant,seed,family,n,NMSE,PSNR,SSIM
S06_geometry_branch_bottleneck_concat,1,point_cluster,20,6.013567222436038,27.04572072466823,0.3177590623465
S06_geometry_branch_bottleneck_concat,1,small_rect_edge,10,2.1657060214693606,26.67982215926749,0.30862603325836535
S06_geometry_branch_bottleneck_concat,2,L-shape,20,0.9884403498283426,28.34378690836551,0.38452754502216957
S06_geometry_branch_bottleneck_concat,2,cross,15,0.9855602956891303,30.036758933074385,0.47992997119889524
S06_geometry_branch_bottleneck_concat,2,double-line,15,0.9879517096216593,27.4511993101188,0.33723752182006467
S06_geometry_branch_bottleneck_concat,2,line,20,0.9875231281871146,30.723918934869637,0.5161544871930599
S06_geometry_branch_bottleneck_concat,2,point_cluster,20,1.0025692434753677,33.982721145603186,0.7017200222948585
S06_geometry_branch_bottleneck_concat,2,small_rect_edge,10,0.9907580274059435,29.629573030962273,0.4561378496205236
S07_generic_film_middeep,0,L-shape,20,0.9942863361692771,28.318142596719053,0.3768430235706729
S07_generic_film_middeep,0,cross,15,0.995157653880404,29.99446180174986,0.4705595720438137
S07_generic_film_middeep,0,double-line,15,0.9956324263494292,27.417477276247062,0.32787264850820785
S07_generic_film_middeep,0,line,20,0.9979861478438756,30.678020303709367,0.5079473568568011
S07_generic_film_middeep,0,point_cluster,20,0.9998904539091227,33.993883924574796,0.7001422993241914
S07_generic_film_middeep,0,small_rect_edge,10,0.9950777523313974,29.610547951109545,0.4507026720047542
S07_generic_film_middeep,1,L-shape,20,0.9870998098002708,28.349668710505274,0.3843113436820887
S07_generic_film_middeep,1,cross,15,0.984787271238524,30.040021370336582,0.4792441344215795
S07_generic_film_middeep,1,double-line,15,0.9864955165520252,27.45759571976632,0.3368915624543643
S07_generic_film_middeep,1,line,20,0.9857859854439077,30.7314914209093,0.5159019862458174
S07_generic_film_middeep,1,point_cluster,20,0.9964297891776843,34.00907989071558,0.7022640824501964
S07_generic_film_middeep,1,small_rect_edge,10,0.9904504589463787,29.630858645952696,0.455652591802166
S07_generic_film_middeep,2,L-shape,20,1.0022985019006785,28.28369720416896,0.3874655019108292
S07_generic_film_middeep,2,cross,15,1.0077967999616735,29.94043678227906,0.47557761082932987
S07_generic_film_middeep,2,double-line,15,0.9960582027299661,27.416072716752463,0.34749298345674834
S07_generic_film_middeep,2,line,20,1.0161045554031767,30.6021604711706,0.5092006300493349
S07_generic_film_middeep,2,point_cluster,20,1.080730710306135,33.66293656159935,0.6747877269110963
S07_generic_film_middeep,2,small_rect_edge,10,1.0151364697672987,29.52410942259011,0.44940222670109103
S08_rsbfilm_middeep_default,0,L-shape,20,0.9919125397653812,28.328528199833208,0.3788479959486947
