variant,sample_id,bin,nmse,ssim,mae,boundary_band_m
S02_plain_residual_unet,L_shape_test_0001,large,0.15190473476479097,0.9686752099645202,0.3240891993045807,
S03_concat_Mshell,L_shape_test_0001,small,0.9510486553655298,0.5529959497971364,0.9267640709877014,
S03_concat_Mshell,L_shape_test_0001,medium,1.0,0.5717162583809592,0.8381723761558533,
S03_concat_Mshell,L_shape_test_0001,large,1.0,0.776655569700893,0.8434730768203735,
S04_concat_Mshell_delta,L_shape_test_0001,small,0.3240458168315664,0.8611616063243895,0.5188794732093811,
S04_concat_Mshell_delta,L_shape_test_0001,medium,0.37305860738041147,0.8535604727388072,0.48294731974601746,
S04_concat_Mshell_delta,L_shape_test_0001,large,0.16243545202280987,0.9663985858353153,0.3349466621875763,
S05_concat_Mshell_delta_Pcyc,L_shape_test_0001,small,0.9296238042680047,0.5639420149714248,0.9143078327178955,
S05_concat_Mshell_delta_Pcyc,L_shape_test_0001,medium,1.0,0.5717162583809592,0.8381723761558533,
S05_concat_Mshell_delta_Pcyc,L_shape_test_0001,large,1.0,0.776655569700893,0.8434730768203735,
S06_geometry_branch_bottleneck_concat,L_shape_test_0001,small,0.3850748867320814,0.8314892834141714,0.5724455714225769,
S06_geometry_branch_bottleneck_concat,L_shape_test_0001,medium,0.4391349070989144,0.8239273486603967,0.5334627032279968,
S06_geometry_branch_bottleneck_concat,L_shape_test_0001,large,0.222151704486694,0.9532796249910779,0.3943551480770111,
S07_generic_film_middeep,L_shape_test_0001,small,0.5068114506522985,0.7723948200065661,0.6598397493362427,
S07_generic_film_middeep,L_shape_test_0001,medium,0.5789904794681605,0.7619435557388357,0.6195712685585022,
S07_generic_film_middeep,L_shape_test_0001,large,0.3083785170846022,0.9340265612474323,0.46540576219558716,
S08_rsbfilm_middeep_default,L_shape_test_0001,small,0.5132835037775775,0.7692144056394431,0.6642616391181946,
S08_rsbfilm_middeep_default,L_shape_test_0001,medium,0.5859235596315011,0.7588018181188654,0.6237244009971619,
S08_rsbfilm_middeep_default,L_shape_test_0001,large,0.31440656265139016,0.9326682922438165,0.47000113129615784,
S01_ref3,cross_test_0001,small,0.2563898115641834,0.8932068835611858,0.36768579483032227,
S01_ref3,cross_test_0001,medium,0.21245390518099805,0.9160515118718291,0.3157506287097931,
S01_ref3,cross_test_0001,large,0.1811798258764957,0.9330681826314559,0.3440242111682892,
S02_plain_residual_unet,cross_test_0001,small,0.24869931135527207,0.8968112265000695,0.36035996675491333,
S02_plain_residual_unet,cross_test_0001,medium,0.2029888221342664,0.9203070520523332,0.30532318353652954,
