variant,sample_id,family,nmse,psnr,ssim,runtime_per_sample
S02_plain_residual_unet,double_line_test_0001,double-line,2.5230118087071283,22.617917716793272,0.08971511204603477,0.000954996001382824
S03_concat_Mshell,double_line_test_0001,double-line,11.116626519818094,16.177380288107113,0.0015421202484221634,0.0009355669972137548
S04_concat_Mshell_delta,double_line_test_0001,double-line,2.1259316411653435,23.361617270355268,0.18238413734731887,0.0009359749965369701
S05_concat_Mshell_delta_Pcyc,double_line_test_0001,double-line,10.470797032080025,16.43731305337198,0.00175555616836839,0.0009396059977007098
S06_geometry_branch_bottleneck_concat,double_line_test_0001,double-line,1.9985620919189357,23.629933862354168,0.17710383317649064,0.001459956998587586
S07_generic_film_middeep,double_line_test_0001,double-line,2.1693276383538964,23.273858976839076,0.07698368233584381,0.0017616279983485583
S08_rsbfilm_middeep_default,double_line_test_0001,double-line,2.141925840173704,23.3290660567156,0.0788318038290577,0.0018747470021480694
S01_ref3,line_test_0001,line,2.8095012944802833,21.423931945356394,0.13889635238782713,0.0
S02_plain_residual_unet,line_test_0001,line,3.105616939945766,20.98874521297837,0.081803581405685,0.0009022390004247427
S03_concat_Mshell,line_test_0001,line,10.461494428862437,15.714287164996254,0.0023767680690045014,0.0009363019999000244
S04_concat_Mshell_delta,line_test_0001,line,2.6391742554997264,21.695543705388534,0.14848800394823136,0.0009254280012100935
S05_concat_Mshell_delta_Pcyc,line_test_0001,line,9.802161121047552,15.997006074543442,0.0017852405346618786,0.0009441289985261392
S06_geometry_branch_bottleneck_concat,line_test_0001,line,2.333223212607894,22.2306615779085,0.15690121254840192,0.0013867870002286509
S07_generic_film_middeep,line_test_0001,line,2.2401550331622957,22.407443517646517,0.08927793177064673,0.001779174999683164
S08_rsbfilm_middeep_default,line_test_0001,line,2.203126848636209,22.479829346803275,0.09168846281997564,0.001866345999587793
S01_ref3,point_cluster_test_0001,point_cluster,3.9558694141407313,25.698748756379928,0.22076768391511112,0.0
S02_plain_residual_unet,point_cluster_test_0001,point_cluster,4.780188796291358,24.876717873259363,0.09032489416724959,0.0009656639995228034
S03_concat_Mshell,point_cluster_test_0001,point_cluster,33.35059492482906,16.44013226618868,0.0014501146838599296,0.0009273709983972367
S04_concat_Mshell_delta,point_cluster_test_0001,point_cluster,3.794370818233092,25.879770564933047,0.23203814394248762,0.0009285180021834094
S05_concat_Mshell_delta_Pcyc,point_cluster_test_0001,point_cluster,31.736946968851967,16.655516679785205,0.0015790574056371597,0.0009404000011272728
S06_geometry_branch_bottleneck_concat,point_cluster_test_0001,point_cluster,3.3053132508525245,26.4790420027062,0.24460818665410006,0.0014934829996491317
S07_generic_film_middeep,point_cluster_test_0001,point_cluster,3.8612863805065873,25.8038479918309,0.09296511651271,0.0017619969985389616
S08_rsbfilm_middeep_default,point_cluster_test_0001,point_cluster,3.7819002238921167,25.894067713939684,0.09634589320090674,0.001866757000243524
S01_ref3,small_rect_edge_test_0001,small_rect_edge,5.7986830179431585,23.163875436528567,0.11760286424456741,0.0
S02_plain_residual_unet,small_rect_edge_test_0001,small_rect_edge,6.516293601873661,22.65716274857723,0.05250932962413765,0.0009924149999278598
S03_concat_Mshell,small_rect_edge_test_0001,small_rect_edge,30.729973422472227,15.92154739511141,0.001232812304713825,0.000934716998017393
S04_concat_Mshell_delta,small_rect_edge_test_0001,small_rect_edge,5.420350352536122,23.456895940442784,0.12792100791615288,0.0009360069998365361
S05_concat_Mshell_delta_Pcyc,small_rect_edge_test_0001,small_rect_edge,28.671067216311542,16.222730798320878,0.0013932394581191298,0.0009519820014247671
S06_geometry_branch_bottleneck_concat,small_rect_edge_test_0001,small_rect_edge,4.712077750761005,24.0650446998429,0.1350924411416576,0.0013870799994037952
S07_generic_film_middeep,small_rect_edge_test_0001,small_rect_edge,4.686735398834458,24.088465086175113,0.05657648427996186,0.0017426340018573683
S08_rsbfilm_middeep_default,small_rect_edge_test_0001,small_rect_edge,4.5930644802334735,24.176144015711657,0.058585988814797436,0.0018796690019371454
S01_ref3,L_shape_test_0002,L-shape,5.243198565646372,20.084957506129122,0.06497218249078694,0.0
S02_plain_residual_unet,L_shape_test_0002,L-shape,5.692756586021444,19.72769448510045,0.040412346543645554,0.0009988220008381177
S03_concat_Mshell,L_shape_test_0002,L-shape,13.727247403538849,15.905085992130179,0.0015794035171687768,0.0009423230003449135
