table_method,method,seed,sample_id,family,NMSE,PSNR,SSIM,MAE,runtime_per_sample,network_runtime_per_sample,end_to_end_runtime_per_sample,source
T01_BP,BP,0,L_shape_test_0006,L-shape,2.5539194567330705,27.089008803977407,0.3602229476721387,0.006123094819486141,1.3639276279136539,,1.3639276279136539,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0007,L-shape,1.2815474987469089,25.922174066387985,0.3734529114836742,0.008462696336209774,1.6576994739007205,,1.6576994739007205,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0008,L-shape,2.149105836222751,27.151830417927133,0.3331657433751245,0.005227058660238981,1.224778549047187,,1.224778549047187,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0009,L-shape,1.546729240936345,24.509096897009126,0.3050732302714346,0.010680262930691242,3.3534988700412214,,3.3534988700412214,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0010,L-shape,1.6576933839986279,28.407410133138328,0.4379292915787853,0.004791459999978542,1.7888200820889324,,1.7888200820889324,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0011,L-shape,4.102952715301918,27.24887859730356,0.3438615582483951,0.00553207378834486,1.1840364399831742,,1.1840364399831742,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0012,L-shape,1.67452619001345,24.519419600766575,0.2761538566311037,0.010515703819692135,2.6250895261764526,,2.6250895261764526,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0013,L-shape,1.1470244319155896,26.666466512586567,0.41062746083882934,0.007140754722058773,2.525412037037313,,2.525412037037313,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0014,L-shape,2.2492880254310186,28.672347327018358,0.4470301018582132,0.004081311635673046,1.3440336189232767,,1.3440336189232767,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0015,L-shape,1.2400238325856368,24.93132326772482,0.3342538411611156,0.009489466436207294,1.8589070281013846,,1.8589070281013846,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0016,L-shape,1.5985438882382204,25.373508218054948,0.3047339018520643,0.009281090460717678,2.1806071421597153,,2.1806071421597153,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0017,L-shape,1.6349522652423054,24.165070761661497,0.28368215001632635,0.011506186798214912,1.9771915338933468,,1.9771915338933468,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0018,L-shape,1.7353470121660117,23.805790363999684,0.2735421085216601,0.010147239081561565,2.7379367270041257,,2.7379367270041257,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,L_shape_test_0019,L-shape,4.041768058365346,27.264294578138077,0.3263369866726328,0.0058770012110471725,2.3904251558706164,,2.3904251558706164,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,double_line_test_0000,double-line,1.845067810706683,23.572443516792152,0.28256285061929465,0.009908115491271019,1.5291077550500631,,1.5291077550500631,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,double_line_test_0001,double-line,1.4671141656780533,24.9724713820088,0.3046753800163507,0.009790753945708275,2.4177223208826035,,2.4177223208826035,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
